date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:50	77572/77572	---M--	200	added ('OK')	image/png	etag:%2212f04-61379a37-7c60b9802d05545b;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img5_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img5_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:51	77854/77854	---M--	200	added ('OK')	image/png	etag:%221301e-61379a3b-ed8633e3f83c48b;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img7_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img7_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:51	193037/193037	---M--	200	added ('OK')	image/png	etag:%222f20d-61379a3a-12310192f774b004;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img6_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img6_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:51	12777/12777	---M-Z	200	added ('OK')	application/x-javascript	etag:%2231e9-612d589d-bab2f897005ad76c;gz%22	https://blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript4.js	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript4.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:51	107027/107027	---M--	200	added ('OK')	image/png	etag:%221a213-61379a3c-44bf62b320922194;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img8_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img8_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:52	7300/7300	---M-Z	200	added ('OK')	application/x-javascript	etag:%221c84-612d589c-c3ddfaff2f08653;gz%22	https://blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript3.js	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript3.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:52	3910/3910	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f46-612d589b-94ad6d64ff08136a;gz%22	https://blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript2.js	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript2.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:52	8928/8928	---M-Z	200	added ('OK')	application/x-javascript	etag:%2222e0-612d589a-e9b7bff4fb632fee;gz%22	https://blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript1.js	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript1.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:53	162/162	---M--	200	added ('OK')	image/gif	date:Tue,%2011%20Jul%202023%2004:49:52%20GMT	https://resources.blogblog.com/img/icon18_edit_allbkg.gif	C:/Users/Marciano/Desktop/war/resources.blogblog.com/img/icon18_edit_allbkg.gif	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:54	2531/2531	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Jul%202023%2015:51:54%20GMT	http://www.blogger.com/img/blogger_logo_round_35.png	C:/Users/Marciano/Desktop/war/www.blogger.com/img/blogger_logo_round_35.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:56	238043/238043	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html?showComment=1586292036090	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano1c2d.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:59	238043/238043	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html?showComment=1588367100736	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano3501.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:34:01	238043/238043	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html?showComment=1628525849737	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano5a99.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:34:03	238043/238043	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html?showComment=1632158454665	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-1-portugues-3-anoc202.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:34:03	17851/17851	---M--	200	added ('OK')	text/javascript	date:Fri,%2014%20Jul%202023%2013:53:42%20GMT	https://www.blogger.com/static/v1/jsbin/2276294889-comment_from_post_iframe.js	C:/Users/Marciano/Desktop/war/www.blogger.com/static/v1/jsbin/2276294889-comment_from_post_iframe.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:34:06	236668/236668	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-2-portugues-3-ano.html	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-2-portugues-3-ano.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:34:08	224382/224382	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-10-portugues-3-ano.html	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-10-portugues-3-ano.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:34:10	336366/336366	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/index.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:34:12	229147/229147	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-9-portugues-3-ano.html	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-9-portugues-3-ano.html	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
